ResourceID,Historic Person Name,Name_Type,Date of Birth,StartDateType,Date of Death,EndDateType,ACTOR_TYPE
00000000-0000-0000-0000-0000000lhda1,Remigius de Fecamp,81dd62d2-6701-4195-b74b-8057456bba4b,1030,73e5204c-0635-478b-a369-91d5cde5c68f,1092,9697e0bd-15ea-476f-94fb-092a351418d9,df116fa5-ac23-4028-bcca-d7c2824d794b
00000000-0000-0000-0000-0000000lhda2,Hugh Segar Scorer,81dd62d2-6701-4195-b74b-8057456bba4b,1923,73e5204c-0635-478b-a369-91d5cde5c68f,2003,9697e0bd-15ea-476f-94fb-092a351418d9,5114cbca-1f45-4d99-b773-32b52a0b75a8
00000000-0000-0000-0000-0000000lhda3,William Watkins,81dd62d2-6701-4195-b74b-8057456bba4b,1834,73e5204c-0635-478b-a369-91d5cde5c68f,1926,9697e0bd-15ea-476f-94fb-092a351418d9,5114cbca-1f45-4d99-b773-32b52a0b75a8
00000000-0000-0000-0000-0000000lhda4,Christina Colyer,81dd62d2-6701-4195-b74b-8057456bba4b,,73e5204c-0635-478b-a369-91d5cde5c68f,2008,9697e0bd-15ea-476f-94fb-092a351418d9,9f5b7a62-eac9-46ec-97c8-ab1578b3f224
00000000-0000-0000-0000-0000000lhda5,William the Conqueror,81dd62d2-6701-4195-b74b-8057456bba4b,1028,73e5204c-0635-478b-a369-91d5cde5c68f,1087,9697e0bd-15ea-476f-94fb-092a351418d9,eb4afc45-ec4e-4fa9-a586-143582446cc8
00000000-0000-0000-0000-0000000lhda6,"Alfred, Lord Tennyson",81dd62d2-6701-4195-b74b-8057456bba4b,1809,73e5204c-0635-478b-a369-91d5cde5c68f,1892,9697e0bd-15ea-476f-94fb-092a351418d9,75c096a3-612f-4c4f-bbce-a1acf1e005a3
00000000-0000-0000-0000-0000000lhda7,Thomas Edward Lawrence,81dd62d2-6701-4195-b74b-8057456bba4b,1888,73e5204c-0635-478b-a369-91d5cde5c68f,1935,9697e0bd-15ea-476f-94fb-092a351418d9,bc22fab0-c101-4522-b0ed-034f87f62ecc
00000000-0000-0000-0000-0000000lhda8,George Boole,81dd62d2-6701-4195-b74b-8057456bba4b,1815,73e5204c-0635-478b-a369-91d5cde5c68f,1864,9697e0bd-15ea-476f-94fb-092a351418d9,
00000000-0000-0000-0000-0000000lhda9,Edward Parker Charlesworth,81dd62d2-6701-4195-b74b-8057456bba4b,1783,73e5204c-0635-478b-a369-91d5cde5c68f,1853,9697e0bd-15ea-476f-94fb-092a351418d9,506616f7-3358-4ee9-a044-feff4206a915
00000000-0000-0000-0000-000000lhda10,Joseph Ruston,81dd62d2-6701-4195-b74b-8057456bba4b,1835,73e5204c-0635-478b-a369-91d5cde5c68f,1897,9697e0bd-15ea-476f-94fb-092a351418d9,1f5188dd-290c-4b8e-890d-d6d3cd7d2928
00000000-0000-0000-0000-000000lhda11,William Tritton,81dd62d2-6701-4195-b74b-8057456bba4b,1875,73e5204c-0635-478b-a369-91d5cde5c68f,1946,9697e0bd-15ea-476f-94fb-092a351418d9,1f5188dd-290c-4b8e-890d-d6d3cd7d2928
00000000-0000-0000-0000-000000lhda12,Nathaniel Clayton,81dd62d2-6701-4195-b74b-8057456bba4b,1811,73e5204c-0635-478b-a369-91d5cde5c68f,1890,9697e0bd-15ea-476f-94fb-092a351418d9,1f5188dd-290c-4b8e-890d-d6d3cd7d2928
00000000-0000-0000-0000-000000lhda13,Neville Marriner,81dd62d2-6701-4195-b74b-8057456bba4b,1924,73e5204c-0635-478b-a369-91d5cde5c68f,2016,9697e0bd-15ea-476f-94fb-092a351418d9,3c5e8a9d-c64a-43a9-915b-fd670b98fd77
00000000-0000-0000-0000-000000lhda14,Joseph Shuttleworth,81dd62d2-6701-4195-b74b-8057456bba4b,1819,73e5204c-0635-478b-a369-91d5cde5c68f,1883,9697e0bd-15ea-476f-94fb-092a351418d9,1f5188dd-290c-4b8e-890d-d6d3cd7d2928
00000000-0000-0000-0000-000000lhda15,Alastair Macintosh,81dd62d2-6701-4195-b74b-8057456bba4b,,,,,9f5b7a62-eac9-46ec-97c8-ab1578b3f224
